# IZAKAYA TANAKA
## Japanese Pub & Grill

---

**APPETIZERS**

Edamame | 6
Gyoza (6 pieces) - pan-fried pork dumplings | 8
Takoyaki - octopus balls with bonito flakes | 9
Shishito Peppers | 7
Karaage - Japanese fried chicken | 11
Tuna Tartare on Crispy Rice | 13

**SASHIMI & SUSHI**

Salmon Sashimi (5 pieces) | 12
Toro (fatty tuna) - 3 pieces | 16
Omakase Selection | Market Price
Mixed Nigiri Platter (8 pieces) | 18
California Roll | 10
Spicy Toro Roll | 12

**GRILLED SPECIALTIES**

Yakitori - chicken skewers, your choice of sauce:
  · Teriyaki | 3 each
  · Shio (salt) | 3 each
  · Tare (house sauce) | 3 each

Beef Tongue (Gyutan) - marinated, chargrilled | 16
Scallops with Miso Butter | 18
Mackerel (Saba Shioyaki) | 14

**RICE & NOODLES**

Okonomiyaki - savory pancake with bacon, egg, bonito | 13
Takoyaki Udon - thick noodles in broth with octopus | 11
Salmon Fried Rice | 12
Yakisoba - stir-fried noodles | 10

**SMALL PLATES**

Sardine with Daikon Radish | 8
Squid Ink Pasta | 12
Tofu Steak (GF, V) | 9
Seaweed Salad | 6
Uni (sea urchin) - seasonal | 

**BEER & SAKE**

Asahi Draft | 6
Sapporo | 6
Cold Sake - Cup | 5
Cold Sake - Carafe | 20
Hot Sake | 5

**SOFT DRINKS**

Yuzu Lemonade | 5
Ramune (Japanese soda) | 4
Green Tea | 3
Water | Complimentary
